Model,Owner,Test Accuracy,Test F1,Test Log Loss,Inference ms/sample,Model Size MB,Parameter Count
BERT Cross-Encoder,Yuchan,0.9079126369685128,0.8804623535077861,0.2198550113302646,39.1320510577998,417.7272109985352,109483778.0
BERT Cross-Encoder Int8,Yuchan,0.8736055801528606,0.8498560263266146,0.2711769789154935,84.54123515625724,104.89794063568117,38400.0
Bi-Encoder Early Stopping,Sanghun Han,0.8217121373271662,0.7747218402300288,0.5109421059850711,0.0123534342444979,4.982410430908203,1304897.0
Embedding+Linear Int8 Bi-Encoder Early Stopping,Sanghun Han,0.8163447030596849,0.7723160896629971,0.5193210086694829,0.0148843940100581,1.2539186477661133,1304897.0
Word2Vec + Siamese LSTM,Jun Park,0.7759281703727522,0.7237857121078147,0.4645795139757757,0.2811051644019049,52.307677268981934,4565357.0
Linear SVM (TF-IDF),Taehun Kim,0.7454549951767295,0.6394562589776828,0.5917555316761316,2.579212928015155e-05,0.7102146148681641,93013.0
Naive Bayes (TF-IDF),Taehun Kim,0.74508397437483,0.6383098196111462,0.6439408187853244,0.0001050967868039,2.8390941619873047,
Random Forest (Hand),Taehun Kim,0.7219075416161667,0.6348371171522297,0.4943313939605521,0.0043522213756221,190.85311317443848,2500728.0
Gradient Boosting (Hand),Taehun Kim,0.7220312152167998,0.6315651432692938,0.4954369253608106,0.003903974671827,0.9088630676269532,12466.0
LR (TF-IDF),Taehun Kim,0.7555467609883995,0.6281650927423906,0.5117709075244784,3.942096018455831e-05,0.7103290557861328,93013.0
Decision Tree (Hand),Taehun Kim,0.7077840164238541,0.6197863027806385,0.5315491298194761,8.555947446686047e-05,0.1319465637207031,1725.0
LR (Hand Features),Taehun Kim,0.6541096737490415,0.4902303878681831,0.5644788775970344,6.398768207409978e-05,0.0007591247558593,11.0
